2023-09-28 17:33:19.565 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-09-28 17:33:19.861 [main] INFO  v.v.d.c.c.RabbitMqConnectionFactory(81) -   Object Connection b4239186-a6e7-437c-a9db-562e71a08859 is creating 
2023-09-28 17:33:19.943 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-09-28 17:33:20.183 [main] INFO  v.v.d.c.c.RabbitMqConnectionFactory(81) -   Object Connection 8bb80afc-9b32-4109-a65e-bde09d60af3e is creating 
2023-09-28 17:33:20.264 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-09-28 17:33:20.510 [main] INFO  v.v.d.c.c.RabbitMqConnectionFactory(81) -   Object Connection db4bfe49-e3d1-455a-a42c-a83355ce0b5c is creating 
2023-09-28 17:33:20.512 [main] INFO  v.v.d.c.c.RabbitMqConnectionPool(76) -   Quantity connection is not active in Connection pool: 3
2023-09-28 17:33:20.512 [main] INFO  v.v.d.c.c.RabbitMqConnectionPool(77) -   Quantity connection Active in Connection pool: 0
2023-09-28 17:33:20.513 [main] INFO  v.v.d.c.c.RabbitMqConnectionFactory(107) -   Object Connection db4bfe49-e3d1-455a-a42c-a83355ce0b5c is calling !
2023-09-28 17:33:20.514 [main] INFO  v.v.d.c.c.RabbitMqConnectionPool(64) -   Quantity connection Active in Connection pool: 1
2023-09-28 17:33:20.514 [main] INFO  v.v.d.c.c.RabbitMqConnectionFactory(113) -   Object Connection db4bfe49-e3d1-455a-a42c-a83355ce0b5c is returning !
2023-09-28 17:33:20.602 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 1 is creating 
2023-09-28 17:33:20.682 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 2 is creating 
2023-09-28 17:33:20.765 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 3 is creating 
2023-09-28 17:33:20.845 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 4 is creating 
2023-09-28 17:33:20.925 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 5 is creating 
2023-09-28 17:33:21.071 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 6 is creating 
2023-09-28 17:33:21.151 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 7 is creating 
2023-09-28 17:33:21.232 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 8 is creating 
2023-09-28 17:33:21.312 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 9 is creating 
2023-09-28 17:33:21.393 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 10 is creating 
2023-09-28 17:33:21.476 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 11 is creating 
2023-09-28 17:33:21.556 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 12 is creating 
2023-09-28 17:33:21.636 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 13 is creating 
2023-09-28 17:33:21.716 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 14 is creating 
2023-09-28 17:33:21.801 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 15 is creating 
2023-09-28 17:33:21.882 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 16 is creating 
2023-09-28 17:33:21.964 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 17 is creating 
2023-09-28 17:33:22.048 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 18 is creating 
2023-09-28 17:33:22.127 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 19 is creating 
2023-09-28 17:33:22.207 [main] INFO  v.v.d.c.channel.ChannelFactory(37) -   Object Channel 20 is creating 
2023-09-28 17:33:22.208 [main] INFO  v.v.d.c.channel.ChannelPool(58) -  Create InternalPool with 20 Channel in Pool
2023-09-28 17:33:22.209 [main] INFO  v.v.d.factory.FanoutExchange(39) -  Start createExchangeAndQueue in FanoutExchange
